,resort_name,country,province,rating,lowest_point,highest_point,blue_runs,red_runs,black_runs,ski_lifts,price
2018, Hartenrod ,Germany,Hesse (Hessen),2,370 m,496 m,1.2 km,0.9 km,0 km,2 ski lifts,"€ 13,-"
2019, Degersheim – Fuchsacker ,Switzerland,Eastern Switzerland,2,815 m,1034 m,3 km,0 km,0 km,3 ski lifts,"SFr. 30,- / approx. € 28,-"
2020, Tydal ,Norway,Sør-Trøndelag,2,589 m,776 m,3.2 km,0 km,0 km,2 ski lifts,"NOK 300,- / approx. € 27,-"
2021, Kush-Tau ,Volga Federal District,Bashkortostan,2,185 m,370 m,1.2 km,1.6 km,0 km,3 ski lifts,"RUB 1200,- / approx. € 13,-"
2022, Gschwend ,Germany,Baden-Württemberg,2,490 m,560 m,0.8 km,0.3 km,0 km,2 ski lifts,"€ 12,-"
2023, Engstingen ,Germany,Baden-Württemberg,2,700 m,770 m,0.8 km,0.8 km,0 km,6 ski lifts,"€ 14,-"
2024, Gruvbacken ,Sweden,Northern Sweden (Norrland),2,460 m,680 m,1 km,0.5 km,0.7 km,1 ski lift,"Skr 220,- / approx. € 21,-"
2025, Pichl (Gsies) ,Italy,Trentino-Alto Adige (Trentino-Südtirol),2,1246 m,1347 m,0.4 km,0 km,0.4 km,1 ski lift,"€ 12,-"
2026, Luisino Údolí ,Czech Republic,Hradec Králové Region (Královéhradecký kraj),2,750 m,860 m,0.4 km,0.5 km,0 km,2 ski lifts,"CZK 430,- / approx. € 16,-"
2027, Foncine le Haut ,France,Franche-Comté,2,908 m,1033 m,1 km,0.5 km,0 km,3 ski lifts,"€ 13,-"
2028, Schmallenberger Höhe – Schmallenberg ,Germany,Central Uplands of Germany (Deutsche Mittelgebirge),2,460 m,630 m,0.1 km,1 km,0 km,2 ski lifts,"€ 20,-"
2029, Komáří vížka – Horní Krupka ,Czech Republic,Ústí nad Labem Region (Ústecký kraj),2,625 m,777 m,1.2 km,0.4 km,0.4 km,4 ski lifts,"CZK 260,- / approx. € 10,-"
2030, Prácheň ,Czech Republic,Liberec Region (Liberecký kraj),2,490 m,580 m,0.7 km,0.6 km,0.4 km,1 ski lift,"CZK 250,- / approx. € 9,-"
2031, Sauris di Sotto ,Italy,Friuli-Venezia Giulia,2,1212 m,1330 m,0.1 km,0.7 km,0 km,1 ski lift,€ 39.50
2032, Skicomp-Fakľovka – Litmanová ,Slovakia,Prešov (Prešovský kraj),2,669 m,920 m,0.4 km,1.4 km,0.4 km,5 ski lifts,"€ 20,-"
2033, Påminne ,Finland,Southern Finland (Etelä-Suomi),2,12 m,91 m,1 km,0.6 km,0.2 km,4 ski lifts,"€ 28,-"
2034, Skönviksbacken ,Sweden,Northern Sweden (Norrland),2,30 m,175 m,0.2 km,0.7 km,0 km,2 ski lifts,"Skr 160,- / approx. € 15,-"
2035, Weissenbach (Alpinwellt) ,Italy,Trentino-Alto Adige (Trentino-Südtirol),2,1372 m,1433 m,0.4 km,0.3 km,0 km,1 ski lift,"€ 19,-"
2036, Asbybacken – Österbymo (Asby Alpina) ,Sweden,Central Sweden,2,150 m,225 m,0.6 km,0.4 km,0.2 km,2 ski lifts,"Skr 140,- / approx. € 13,-"
2037, Leirskallen – Oslo ,Norway,Oslo,4,96 m,153 m,0.4 km,0.3 km,0 km,1 ski lift,"NOK 100,- / approx. € 9,-"
2038, Hesselbacher Gletscher – Bad Laasphe ,Germany,North Rhine-Westphalia (Nordrhein-Westfalen),5,409 m,495 m,0.4 km,0.4 km,0 km,1 ski lift,"€ 12,-"
2039, Dole Pri Litiji ,Slovenia,Osrednjeslovenska (Central Slovenia),5,625 m,675 m,0.5 km,0.2 km,0 km,1 ski lift,"€ 10,-"
2040, Lommedalen ,Norway,Akershus,4.2,163 m,310 m,0.2 km,0.7 km,0 km,2 ski lifts,"NOK 250,- / approx. € 22,-"
2041, Gfellen – Entlebuch-Finsterwald ,Switzerland,Central Switzerland,5,1025 m,1295 m,4.5 km,0 km,0 km,2 ski lifts,"SFr. 25,- / approx. € 23,-"
2042, Kesselberg – Oberkirnach (St. Georgen) ,Germany,Baden-Württemberg,5,955 m,1024 m,0.5 km,0.3 km,0 km,1 ski lift,"€ 15,-"
2043, Ingierkollen – Kolbotn ,Norway,Akershus,4.2,43 m,146 m,0.4 km,0.4 km,0 km,2 ski lifts,"NOK 280,- / approx. € 25,-"
