,resort_name,country,province,rating,lowest_point,highest_point,blue_runs,red_runs,black_runs,ski_lifts,price
635, Autrans – La Sure ,France,Auvergne-Rhône-Alpes,2.7,1050 m,1710 m,10 km,8 km,2 km,7 ski lifts,€ 20.50
636, Sappada ,Italy,Friuli-Venezia Giulia,2.7,1250 m,2000 m,7 km,8 km,0 km,9 ski lifts,€ 39.50
637, Prali ,Italy,Piedmont (Piemonte),2.7,1450 m,2510 m,2 km,4 km,3 km,4 ski lifts,"€ 26,-"
638, Niedere – Andelsbuch/​Bezau ,Austria,Vorarlberg,2.7,655 m,1715 m,5 km,4 km,1 km,7 ski lifts,€ 33.90
639, Ascou Pailhères ,France,Occitania,2.7,1500 m,2000 m,11 km,7 km,2 km,6 ski lifts,€ 24.50
640, Bachledova/​Jezersko/​Frankova ,Slovakia,Prešov (Prešovský kraj),2.7,820 m,1160 m,2.9 km,3.6 km,1.5 km,7 ski lifts,€ 26.20
641, Biały Jar – Karpacz ,Poland,Lower Silesia (Województwo dolnośląskie),2.7,730 m,805 m,1.1 km,1.4 km,0 km,1 ski lift,"PLN 70,- / approx. € 15,-"
642, Camigliatello Silano ,Italy,Calabria,2.7,1378 m,1785 m,2.4 km,1.9 km,0 km,1 ski lift,"€ 20,-"
643, Bödele – Schwarzenberg ,Austria,Vorarlberg,2.7,700 m,1467 m,9 km,12 km,4 km,12 ski lifts,€ 34.60
644, Etna Nord – Linguaglossa ,Italy,Sicily,2.7,1810 m,2336 m,1.5 km,8.8 km,0 km,4 ski lifts,"€ 35,-"
645, Tanvaldský Špičák ,Czech Republic,Liberec Region (Liberecký kraj),2.7,542 m,812 m,4.8 km,2.2 km,0.6 km,6 ski lifts,"CZK 640,- / approx. € 23,-"
646, Rarău – Câmpulung Moldovenesc ,Romania,Suceava,2.7,775 m,1225 m,1.4 km,2.8 km,0 km,1 ski lift,
647, Kirchdorf ,Austria,Tyrol (Tirol),2.7,640 m,780 m,3 km,2 km,0 km,3 ski lifts,€ 29.50
648, Vigiljoch (Monte San Vigilio) – Lana ,Italy,Trentino-Alto Adige (Trentino-Südtirol),2.7,1486 m,1814 m,1.4 km,2 km,0 km,4 ski lifts,"€ 16,-"
649, Snow Arena – Druskininkai (indoor ski area) ,Lithuania,Alytus,4.7,97 m,163 m,1.2 km,0 km,0 km,2 ski lifts,"€ 29,-"
650, Silberberg – Bodenmais ,Germany,Bavaria (Bayern),2.7,750 m,955 m,2 km,0 km,0 km,2 ski lifts,"€ 20,-"
651, Altastenberg ,Germany,Central Uplands of Germany (Deutsche Mittelgebirge),2.7,600 m,800 m,4.1 km,2.7 km,4.1 km,7 ski lifts,"€ 26,-"
652, Audibergue ,France,Provence-Alpes-Côte d’Azur,2.7,1405 m,1657 m,16 km,12 km,1 km,6 ski lifts,"€ 17,-"
653, Rosswald – Brig ,Switzerland,Lemanic Region,2.7,1819 m,2536 m,3 km,2 km,4 km,5 ski lifts,"SFr. 41,- / approx. € 38,-"
654, Breitenberg/​Hochalpe – Pfronten ,Germany,Bavaria (Bayern),2.7,800 m,1675 m,1 km,6 km,0 km,6 ski lifts,€ 30.50
655, Wunderwiese – Puchberg am Schneeberg ,Austria,Lower Austria (Niederösterreich),2.7,810 m,1210 m,3.8 km,4 km,0 km,3 ski lifts,"€ 29,-"
656, Fuentes de Invierno ,Spain,Asturias (Asturian),2.7,1487 m,1950 m,4.2 km,3.3 km,1.3 km,4 ski lifts,"€ 26,-"
657, Schilpario ,Italy,Lombardy,2.7,1135 m,1600 m,1 km,2.5 km,0 km,2 ski lifts,"€ 20,-"
658, Transalpina – Vidra/​Voineasa ,Romania,Vâlcea,2.7,1320 m,1940 m,3.8 km,2.3 km,0 km,5 ski lifts,"RON 110,- / approx. € 23,-"
659, Serles – Mieders ,Austria,Tyrol (Tirol),2.7,960 m,1674 m,2.2 km,3.5 km,0 km,4 ski lifts,"€ 32,-"
660, Cima Piazzi/​San Colombano – Isolaccia/​Oga ,Italy,Lombardy,2.7,1340 m,2547 m,0.3 km,8.7 km,0 km,9 ski lifts,"€ 37,-"
661, Beskid Sport Arena (Szczyrk) ,Poland,Silesia (Województwo śląskie),2.7,600 m,840 m,1.5 km,1.2 km,0.8 km,4 ski lifts,"PLN 125,- / approx. € 27,-"
662, Bivio ,Switzerland,Eastern Switzerland,2.7,1769 m,2560 m,13 km,13 km,4 km,4 ski lifts,"SFr. 43,- / approx. € 40,-"
663, Røldal ,Norway,Western Norway (Vestlandet),2.7,680 m,1300 m,7 km,4 km,1 km,7 ski lifts,"NOK 420,- / approx. € 38,-"
664, Śnieżnica – Kasina Wielka ,Poland,Lesser Poland (Województwo małopolskie),2.7,610 m,902 m,1.6 km,1.3 km,0 km,2 ski lifts,"PLN 95,- / approx. € 21,-"
665, Słotwiny Arena ,Poland,Lesser Poland (Województwo małopolskie),2.7,697 m,861 m,0.6 km,1.6 km,0 km,3 ski lifts,"PLN 105,- / approx. € 23,-"
666, Prato Selva ,Italy,Abruzzo,2.7,1375 m,1775 m,7 km,8 km,0 km,2 ski lifts,"€ 22,-"
667, Lagorai/​Passo Brocon – Castello Tesino ,Italy,Trentino-Alto Adige (Trentino-Südtirol),2.7,1613 m,2060 m,4.8 km,5.9 km,0.3 km,3 ski lifts,"€ 30,-"
668, Vasilitsa ,Greece,Western Macedonia,2.7,1646 m,2115 m,1 km,14 km,4 km,8 ski lifts,"€ 13,-"
669, Roháče – Spálená ,Slovakia,Žilina (Žilinský kraj),2.7,1030 m,1498 m,2.9 km,2.5 km,0.3 km,5 ski lifts,"€ 29,-"
670, Valdelinares (Sierra de Gúdar) ,Spain,Aragon,2.7,1737 m,1979 m,10 km,7 km,0 km,9 ski lifts,€ 37.50
671, Chalmazel ,France,Auvergne-Rhône-Alpes,2.7,1110 m,1600 m,5 km,5 km,2 km,9 ski lifts,"€ 22,-"
672, Hochrindl – Sirnitz ,Austria,Carinthia (Kärnten),2.7,1540 m,1886 m,5.4 km,11.4 km,3.8 km,7 ski lifts,"€ 36,-"
673, Eckbauer – Garmisch-Partenkirchen ,Germany,Bavaria (Bayern),2.7,730 m,1230 m,0 km,3 km,0.6 km,2 ski lifts,
674, Bagolino ,Italy,Lombardy,2.7,1500 m,2185 m,3 km,10 km,2 km,6 ski lifts,
675, Kraličák – Hynčice pod Sušinou/​Stříbrnice ,Czech Republic,Olomouc Region (Olomoucký kraj),2.7,630 m,870 m,2.5 km,3.6 km,0.9 km,9 ski lifts,"CZK 500,- / approx. € 18,-"
676, Jaworzyna Krynicka ,Poland,Lesser Poland (Województwo małopolskie),2.7,644 m,1114 m,0.9 km,6.5 km,1 km,8 ski lifts,"PLN 110,- / approx. € 24,-"
677, Trillevallen ,Sweden,Northern Sweden (Norrland),2.7,673 m,990 m,5 km,12 km,5 km,8 ski lifts,"Skr 340,- / approx. € 33,-"
678, Manzaneda ,Spain,Galicia,2.7,1505 m,1760 m,8 km,2 km,0 km,6 ski lifts,"€ 25,-"
679, Buková hora – Čenkovice/​Červená Voda ,Czech Republic,Pardubice Region (Pardubický kraj),2.7,557 m,958 m,2.5 km,6 km,0 km,8 ski lifts,"CZK 670,- / approx. € 24,-"
680, Vichères (Liddes) ,Switzerland,Lemanic Region,2.7,1595 m,2267 m,7 km,5 km,3 km,4 ski lifts,"SFr. 43,- / approx. € 40,-"
681, Kongsberg Skisenter ,Norway,Buskerud,2.7,235 m,565 m,5 km,2 km,2 km,5 ski lifts,"NOK 425,- / approx. € 38,-"
682,,Italy,Trentino-Alto Adige (Trentino-Südtirol),2.7,1184 m,2250 m,1 km,10 km,0 km,4 ski lifts,
683, Krippenstein – Obertraun ,Austria,Upper Austria (Oberösterreich),2.7,609 m,2109 m,3 km,9 km,0 km,7 ski lifts,€ 41.90
684, Febbio 2000 – Monte Cusna ,Italy,Emilia-Romagna,2.7,1200 m,2063 m,3.2 km,1.7 km,2.9 km,2 ski lifts,"€ 20,-"
685, Ještěd – Liberec ,Czech Republic,Liberec Region (Liberecký kraj),2.7,540 m,1000 m,2.5 km,5.9 km,0.8 km,9 ski lifts,"CZK 590,- / approx. € 22,-"
686, Chelmos – Kalavrita ,Greece,Western Greece,2.7,1700 m,2340 m,3.6 km,6.2 km,2.2 km,7 ski lifts,"€ 25,-"
687, Salamandra Resort – Banska-Stiavnica ,Slovakia,Banská Bystrica (Banskobystrický kraj),2.7,579 m,850 m,0.2 km,1.4 km,0 km,2 ski lifts,"€ 27,-"
688, Hlíðarfjall – Akureyri ,Iceland,Northeast Iceland,2.7,476 m,950 m,6 km,7 km,1.9 km,7 ski lifts,"ISK 5100,- / approx. € 31,-"
689, Les Mosses/​La Lécherette ,Switzerland,Lemanic Region,2.7,1445 m,1870 m,10 km,30 km,0 km,13 ski lifts,"SFr. 55,- / approx. € 51,-"
690, Kalinderu – Buşteni ,Romania,Prahova,2.7,1000 m,1295 m,0.2 km,2.7 km,0 km,2 ski lifts,"RON 140,- / approx. € 29,-"
691, Krinnenalpe – Nesselwängle ,Austria,Tyrol (Tirol),2.7,1150 m,1671 m,5 km,7 km,1 km,5 ski lifts,"€ 41,-"
692, Riksgränsen ,Sweden,Northern Sweden (Norrland),2.7,522 m,909 m,10 km,10 km,1 km,6 ski lifts,"Skr 410,- / approx. € 39,-"
693, Bugnenets-Savagnières – Saint-Imier ,Switzerland,Espace Mittelland,2.7,1091 m,1460 m,10 km,10 km,10 km,8 ski lifts,"SFr. 38,- / approx. € 36,-"
694, Zahmer Kaiser – Walchsee ,Austria,Tyrol (Tirol),2.7,600 m,1200 m,11 km,2 km,0 km,3 ski lifts,"€ 28,-"
695, Pievepelago-Sant'Annapelago ,Italy,Emilia-Romagna,2.7,1100 m,1700 m,4 km,2 km,2 km,2 ski lifts,
696, Vigla Pisoderi/​Verno – Florina ,Greece,Western Macedonia,2.7,1650 m,2000 m,4.5 km,5.6 km,1 km,5 ski lifts,
697, Panichishte ,Bulgaria,Kyustendil,2.7,1585 m,2272 m,5 km,3.5 km,0.5 km,2 ski lifts,
698, SnowWorld Zoetermeer (indoor ski area) ,Netherlands,Western Netherlands,2.7,15 m,80 m,0.3 km,0.3 km,0 km,6 ski lifts,€ 46.50
699, Hawrań – Jurgów ,Poland,Lesser Poland (Województwo małopolskie),2.7,830 m,1046 m,1.3 km,2.3 km,1 km,6 ski lifts,"PLN 110,- / approx. € 24,-"
700, Sternstein – Bad Leonfelden ,Austria,Upper Austria (Oberösterreich),2.7,814 m,1102 m,1 km,4 km,0 km,2 ski lifts,€ 34.50
701, Heutal – Unken ,Austria,Salzburg (Salzburger Land),2.7,970 m,1531 m,6 km,5 km,0 km,4 ski lifts,"€ 28,-"
702, Muntele Mic ,Romania,Caraș-Severin,2.7,1416 m,1795 m,3.6 km,6.6 km,0 km,5 ski lifts,"RON 140,- / approx. € 29,-"
703, Pescegallo – Valgerola ,Italy,Lombardy,2.7,1450 m,2000 m,4.6 km,2 km,3 km,2 ski lifts,"€ 20,-"
704, Annaberg ,Austria,Lower Austria (Niederösterreich),2.7,896 m,1300 m,8 km,2.5 km,2 km,5 ski lifts,"€ 38,-"
705, Pilsko – Korbielów ,Poland,Silesia (Województwo śląskie),2.7,750 m,1557 m,2 km,5 km,1 km,11 ski lifts,"PLN 100,- / approx. € 22,-"
706, Gresse en Vercors ,France,Auvergne-Rhône-Alpes,2.7,1245 m,1751 m,8 km,7 km,5 km,10 ski lifts,"€ 20,-"
707, Axalp ob Brienz ,Switzerland,Espace Mittelland,2.7,1400 m,2000 m,11 km,1.5 km,2.5 km,4 ski lifts,"SFr. 46,- / approx. € 43,-"
708, Fageralm – Forstau ,Austria,Salzburg (Salzburger Land),2.7,930 m,1885 m,7 km,8 km,0 km,7 ski lifts,€ 51.50
709, Tärnaby ,Sweden,Northern Sweden (Norrland),2.7,439 m,789 m,10 km,4 km,6 km,5 ski lifts,"Skr 440,- / approx. € 42,-"
710, Eischoll ,Switzerland,Lemanic Region,2.7,1260 m,2200 m,10 km,4.5 km,0.5 km,4 ski lifts,"SFr. 44,- / approx. € 41,-"
711, Crêt-Béni/​La Combe – La Chapelle d'Abondance ,France,Auvergne-Rhône-Alpes,2.7,1020 m,1630 m,4 km,6 km,0 km,7 ski lifts,"€ 29,-"
712, Parâng ,Romania,Hunedoara,2.7,1300 m,1720 m,0.6 km,4.3 km,3.1 km,8 ski lifts,
713, Vorobyovy Gory – Moscow ,Central Russia,Moscow,2.7,133 m,193 m,0.5 km,0.1 km,0 km,2 ski lifts,
714, Galsterberg – Pruggern ,Austria,Styria (Steiermark),2.6,1000 m,1976 m,4 km,7 km,1 km,4 ski lifts,"€ 48,-"
715, Les Monts d'Olmes ,France,Occitania,2.6,1400 m,1950 m,10 km,13 km,0 km,13 ski lifts,"€ 29,-"
716, Kungsberget ,Sweden,Central Sweden,2.6,106 m,306 m,2.5 km,2.5 km,2.5 km,8 ski lifts,"Skr 395,- / approx. € 38,-"
717, Dundret – Gällivare ,Sweden,Northern Sweden (Norrland),2.6,422 m,823 m,4 km,3 km,3 km,6 ski lifts,"Skr 360,- / approx. € 35,-"
718, Grimmialp ,Switzerland,Espace Mittelland,2.6,1230 m,1890 m,4 km,4 km,2 km,3 ski lifts,"SFr. 39,- / approx. € 37,-"
719, Cerreto Laghi ,Italy,Emilia-Romagna,2.6,1350 m,1831 m,0.2 km,5 km,4 km,2 ski lifts,"€ 30,-"
720, Domobianca ,Italy,Piedmont (Piemonte),2.6,1088 m,1845 m,2.1 km,3.3 km,2.1 km,6 ski lifts,"€ 29,-"
721, Etna South – Nicolosi ,Italy,Sicily,2.6,1910 m,2604 m,0.7 km,5.6 km,0 km,5 ski lifts,"€ 30,-"
722, Arvieux ,France,Provence-Alpes-Côte d’Azur,2.6,1550 m,2200 m,8 km,2 km,8 km,6 ski lifts,€ 29.80
723, La Sambuy – Seythenex ,France,Auvergne-Rhône-Alpes,2.6,1150 m,1851 m,3 km,3 km,4 km,5 ski lifts,€ 19.50
724, Furkel – Trafoi (Stilfs) ,Italy,Trentino-Alto Adige (Trentino-Südtirol),2.6,1570 m,2400 m,4.3 km,3 km,1 km,3 ski lifts,"€ 46,-"
725, Mottarone ,Italy,Piedmont (Piemonte),2.6,1269 m,1491 m,5.6 km,11.2 km,1.1 km,8 ski lifts,"€ 29,-"
726, Kubínska hoľa ,Slovakia,Žilina (Žilinský kraj),2.6,720 m,1396 m,2 km,10 km,2 km,10 ski lifts,"€ 30,-"
727, Vysokyy Verh – Zahar Berkut ,Ukraine,Lviv,2.6,671 m,1223 m,5 km,3 km,1 km,5 ski lifts,"UAH 700,- / approx. € 21,-"
728, Monte Pora ,Italy,Lombardy,2.6,1387 m,1880 m,2.3 km,8.2 km,0.5 km,7 ski lifts,"€ 35,-"
729, Schia – Monte Caio ,Italy,Emilia-Romagna,2.6,1202 m,1485 m,1.9 km,9.1 km,2.4 km,3 ski lifts,"€ 28,-"
730, Krasiya ,Ukraine,Zakarpattia,2.6,491 m,1036 m,2 km,6 km,0.5 km,4 ski lifts,"UAH 850,- / approx. € 26,-"
731,,Italy,Venetia (Veneto),2.6,1010 m,1630 m,3 km,3 km,2 km,4 ski lifts,"€ 27,-"
732, Pec pod Sněžkou ,Czech Republic,Hradec Králové Region (Královéhradecký kraj),2.6,830 m,1215 m,5.1 km,7.4 km,0.5 km,12 ski lifts,"CZK 880,- / approx. € 32,-"
733, Lac Blanc ,France,Grand-Est,2.6,868 m,1211 m,8 km,5 km,1 km,9 ski lifts,€ 25.50
734, Vrchlabí – Kněžický vrch ,Czech Republic,Hradec Králové Region (Královéhradecký kraj),2.6,557 m,710 m,5.2 km,3 km,0 km,5 ski lifts,"CZK 490,- / approx. € 18,-"
735, Monte Terminillo ,Italy,Lazio,2.6,1506 m,1868 m,2 km,6 km,1.4 km,4 ski lifts,"€ 28,-"
736, Tahko ,Finland,East Finland (Pohjois- ja Itä-Suomi),2.6,84 m,284 m,10 km,8 km,2 km,14 ski lifts,"€ 41,-"
737, Monte Verena – Mezzaselva di Roana ,Italy,Venetia (Veneto),2.6,1640 m,2020 m,2 km,2 km,3 km,5 ski lifts,"€ 36,-"
738, Forsteralm – Waidhofen an der Ybbs ,Austria,Upper Austria (Oberösterreich),2.6,720 m,1078 m,10 km,4 km,2 km,7 ski lifts,€ 29.50
739, Gerlosstein ,Austria,Tyrol (Tirol),2.6,929 m,1836 m,1 km,8 km,1 km,5 ski lifts,€ 55.50
740, Dwie Doliny – Wierchomla Mała/​Szczawnik (Piwniczna-Zdrój/​Muszyna) ,Poland,Lesser Poland (Województwo małopolskie),2.6,610 m,1001 m,7 km,4 km,0 km,10 ski lifts,"PLN 85,- / approx. € 18,-"
741,,Italy,Lombardy,2.6,1668 m,2100 m,2 km,5 km,3.5 km,6 ski lifts,"€ 28,-"
742, Șureanu ,Romania,Alba,2.6,1650 m,2010 m,1.7 km,9.2 km,1.4 km,3 ski lifts,"RON 110,- / approx. € 23,-"
743, Kranzberg – Mittenwald ,Germany,Bavaria (Bayern),2.6,980 m,1350 m,6 km,7 km,2 km,8 ski lifts,€ 30.50
744, Järvsö ,Sweden,Central Sweden,2.6,170 m,370 m,5 km,3 km,1.3 km,8 ski lifts,"Skr 390,- / approx. € 37,-"
745, St. Gréé ,Italy,Piedmont (Piemonte),2.6,1052 m,1740 m,4 km,3.2 km,1.6 km,2 ski lifts,"€ 15,-"
746, Heidbodme – Saas-Almagell ,Switzerland,Lemanic Region,2.6,1672 m,2400 m,4 km,8 km,0 km,7 ski lifts,"SFr. 75,- / approx. € 70,-"
747,,France,Provence-Alpes-Côte d’Azur,2.6,1550 m,2020 m,20 km,15 km,0 km,8 ski lifts,"€ 19,-"
748, Hirnkopf – Flattnitz (Glödnitz) ,Austria,Carinthia (Kärnten),2.6,1400 m,1840 m,7 km,2 km,3 km,4 ski lifts,€ 30.50
749, Szyndzielnia – Bielsko-Biała ,Poland,Silesia (Województwo śląskie),2.6,510 m,1100 m,0.5 km,2 km,0 km,2 ski lifts,
750, Pratospilla ,Italy,Emilia-Romagna,2.6,1360 m,1750 m,2 km,7.3 km,1 km,2 ski lifts,
751, Kopřivná ,Czech Republic,Moravian-Silesian Region (Moravskoslezský kraj),2.6,705 m,1019 m,1.5 km,0 km,0 km,2 ski lifts,"CZK 600,- / approx. € 22,-"
752, Ørsta Skisenter ,Norway,Western Norway (Vestlandet),2.6,323 m,873 m,6.6 km,4.2 km,0.4 km,4 ski lifts,"NOK 380,- / approx. € 34,-"
753, Świeradów Zdrój ,Poland,Lower Silesia (Województwo dolnośląskie),2.6,620 m,1060 m,0.8 km,1.7 km,0 km,2 ski lifts,"PLN 130,- / approx. € 28,-"
754, Herlíkovice-Bubákov ,Czech Republic,Hradec Králové Region (Královéhradecký kraj),2.6,540 m,1019 m,6.4 km,4 km,2 km,9 ski lifts,"CZK 620,- / approx. € 23,-"
755, Vallefura Pescocostanzo ,Italy,Abruzzo,2.6,1460 m,1729 m,3.8 km,2.4 km,2.1 km,4 ski lifts,"€ 27,-"
756, Trostyan Mountain ,Ukraine,Lviv,2.6,682 m,1232 m,3 km,7 km,2 km,8 ski lifts,
757, Tirolina (Haltjochlift) – Hinterthiersee ,Austria,Tyrol (Tirol),2.6,852 m,1077 m,2 km,1.2 km,0.8 km,2 ski lifts,"€ 21,-"
758, Snow Valley – Peer (indoor ski area) ,Belgium,Flanders (Vlaanderen),2.6,60 m,102 m,0.4 km,0.1 km,0 km,None,"€ 40,-"
759, Scanno – Monte Rotondo ,Italy,Abruzzo,2.6,1225 m,1860 m,2.2 km,5.8 km,0 km,4 ski lifts,"€ 28,-"
760,,Italy,Piedmont (Piemonte),2.6,1360 m,1895 m,8 km,14 km,8 km,6 ski lifts,"€ 20,-"
761, Černý Důl ,Czech Republic,Hradec Králové Region (Královéhradecký kraj),2.6,620 m,865 m,4.3 km,2.9 km,0 km,6 ski lifts,"CZK 880,- / approx. € 32,-"
762, Doganaccia 2000 – Cutigliano ,Italy,Tuscany (Toscana),2.6,1446 m,1795 m,8 km,5 km,2 km,6 ski lifts,"€ 26,-"
763, Rothwald/​Wasenalp (Simplon Pass) ,Switzerland,Lemanic Region,2.6,1750 m,2270 m,5 km,15 km,5 km,3 ski lifts,"SFr. 42,- / approx. € 39,-"
764, Wolzenalp – Krummenau ,Switzerland,Eastern Switzerland,2.6,740 m,1500 m,0 km,9 km,3 km,5 ski lifts,"SFr. 36,- / approx. € 34,-"
765, Reither Kogel – Reith im Alpbachtal ,Austria,Tyrol (Tirol),2.6,670 m,1280 m,1 km,3 km,0 km,4 ski lifts,"€ 49,-"
766, Plai ,Ukraine,Lviv,2.6,792 m,1060 m,1 km,5 km,1 km,3 ski lifts,"UAH 800,- / approx. € 24,-"
767, Campo Catino ,Italy,Lazio,2.6,1620 m,1997 m,3 km,5 km,4 km,5 ski lifts,"€ 25,-"
768, Minschuns – Val Müstair-Tschierv ,Switzerland,Eastern Switzerland,2.6,2117 m,2700 m,17 km,5 km,3 km,4 ski lifts,"SFr. 40,- / approx. € 37,-"
769, Gréolières les Neiges ,France,Provence-Alpes-Côte d’Azur,2.6,1400 m,1800 m,8.8 km,7.9 km,1.9 km,9 ski lifts,"€ 24,-"
770, Cogne – Gran Paradiso ,Italy,Aosta Valley (Valle d'Aosta),2.6,1534 m,2297 m,2 km,5 km,1 km,4 ski lifts,"€ 30,-"
771, Alpe Teglio – Prato Valentino ,Italy,Lombardy,2.6,1690 m,2340 m,3 km,6 km,0 km,2 ski lifts,"€ 25,-"
772, Naggler Alm – Techendorf (Weissensee) ,Austria,Carinthia (Kärnten),2.6,930 m,1324 m,3.5 km,2.5 km,0 km,5 ski lifts,"€ 36,-"
773, Mörlialp – Giswil ,Switzerland,Central Switzerland,2.6,1350 m,1850 m,5 km,6 km,3 km,6 ski lifts,"SFr. 42,- / approx. € 39,-"
774, Kerenzerberg – Filzbach ,Switzerland,Eastern Switzerland,2.6,746 m,1283 m,1 km,6 km,0 km,2 ski lifts,"SFr. 35,- / approx. € 33,-"
775, Kope ,Slovenia,Carinthia (Koroška),2.6,1010 m,1542 m,2.8 km,3.6 km,1.6 km,7 ski lifts,"€ 31,-"
776, Aflenz Bürgeralm ,Austria,Styria (Steiermark),2.6,810 m,1810 m,2 km,8 km,0 km,7 ski lifts,"€ 32,-"
777, Drammen Skisenter ,Norway,Buskerud,2.6,70 m,350 m,1 km,2 km,1 km,3 ski lifts,"NOK 420,- / approx. € 38,-"
778, Čertova hora – Harrachov ,Czech Republic,Liberec Region (Liberecký kraj),2.6,650 m,1020 m,3.7 km,3 km,1.3 km,5 ski lifts,"CZK 690,- / approx. € 25,-"
779, 3-5 Pigadia – Naoussa ,Greece,Central Macedonia,2.6,1420 m,2005 m,4 km,3 km,2 km,6 ski lifts,
780, Voras – Kaimaktsalan ,Greece,Central Macedonia,2.6,2030 m,2480 m,9.8 km,4.7 km,0 km,5 ski lifts,"€ 15,-"
781, Idre Himmelfjäll ,Sweden,Central Sweden,2.6,549 m,872 m,10 km,5 km,0 km,8 ski lifts,"Skr 350,- / approx. € 34,-"
782, Faschina (Fontanella) ,Austria,Vorarlberg,2.6,1450 m,1980 m,5.9 km,2.5 km,0 km,4 ski lifts,€ 40.50
783, Engstligenalp – Adelboden ,Switzerland,Espace Mittelland,2.6,1964 m,2362 m,7 km,6 km,4 km,6 ski lifts,"SFr. 52,- / approx. € 49,-"
784, Grüntenlifte – Kranzegg (Rettenberg) ,Germany,Bavaria (Bayern),2.6,900 m,1700 m,2.1 km,14.7 km,0 km,8 ski lifts,"€ 32,-"
785, Sassotetto – Santa Maria Maddalena ,Italy,Marche,2.6,1289 m,1592 m,2.5 km,8 km,1 km,7 ski lifts,"€ 25,-"
786, Vallter 2000 ,Spain,Catalonia (Catalunya),2.6,1959 m,2535 m,5.4 km,4 km,1 km,8 ski lifts,"€ 27,-"
787,,Austria,Styria (Steiermark),2.6,980 m,1230 m,2.9 km,3.7 km,2.2 km,3 ski lifts,
788, Feldis ,Switzerland,Eastern Switzerland,2.6,1485 m,1950 m,0.3 km,7.5 km,2.2 km,4 ski lifts,"SFr. 35,- / approx. € 33,-"
789, Lurisia – Monte Pigna ,Italy,Piedmont (Piemonte),2.6,814 m,1734 m,4 km,11 km,2 km,4 ski lifts,"€ 22,-"
790, Katzenkopf – Leutasch ,Austria,Tyrol (Tirol),2.6,1140 m,1363 m,3 km,3 km,2 km,3 ski lifts,"€ 32,-"
791, Monte Amiata ,Italy,Tuscany (Toscana),2.6,1370 m,1738 m,1.2 km,6.1 km,2.7 km,8 ski lifts,"€ 25,-"
792, Brunni – Engelberg ,Switzerland,Central Switzerland,2.6,1050 m,2040 m,2 km,3 km,2 km,5 ski lifts,"SFr. 44,- / approx. € 41,-"
793, Eremo di Monte Carpegna ,Italy,Marche,2.6,1236 m,1397 m,3.4 km,6.7 km,0 km,2 ski lifts,"€ 24,-"
794, Elatochori – Katerini ,Greece,Central Macedonia,2.6,1410 m,1912 m,8 km,4 km,0 km,5 ski lifts,"€ 13,-"
795, Martinské Hole ,Slovakia,Žilina (Žilinský kraj),2.6,1150 m,1456 m,2 km,3 km,0 km,6 ski lifts,"€ 32,-"
796, Chamois ,Italy,Aosta Valley (Valle d'Aosta),2.6,1812 m,2498 m,1 km,7 km,0 km,5 ski lifts,"€ 26,-"
797, Kazan ,Russia,None,2.6,57 m,182 m,4 km,2 km,0 km,4 ski lifts,
798, Piatra Neamt ,Romania,Neamț,2.6,380 m,657 m,0.2 km,1 km,0 km,3 ski lifts,
799, Monte Baldo – Malcesine/​Prà Alpesina ,Italy,Trentino-Alto Adige (Trentino-Südtirol),2.6,1446 m,1837 m,2 km,6 km,2 km,6 ski lifts,
800, Tymfristos – Velouchi ,Greece,Central Greece,2.6,1840 m,2220 m,3.7 km,2.7 km,2 km,8 ski lifts,
801, SnowWorld Rucphen (indoor ski area) ,Netherlands,North Brabant (Noord-Brabant),2.6,30 m,52 m,0.5 km,0 km,0 km,4 ski lifts,€ 46.50
802, Harenda ,Poland,Lesser Poland (Województwo małopolskie),2.6,787 m,997 m,2.1 km,1 km,0.9 km,4 ski lifts,"PLN 110,- / approx. € 24,-"
803, Burglift – Stans ,Austria,Tyrol (Tirol),2.6,570 m,690 m,0.5 km,0 km,0 km,2 ski lifts,"€ 21,-"
804, Wurmberg – Braunlage ,Germany,Central Uplands of Germany (Deutsche Mittelgebirge),2.6,565 m,970 m,10 km,1.3 km,0.5 km,7 ski lifts,"€ 33,-"
805, Les Planards ,France,Auvergne-Rhône-Alpes,2.6,1062 m,1242 m,1.5 km,1 km,0 km,3 ski lifts,"€ 27,-"
806, Pontechianale ,Italy,Piedmont (Piemonte),2.6,1623 m,2654 m,1.5 km,6 km,0 km,5 ski lifts,"€ 20,-"
807, Alpe Devero – Baceno ,Italy,Piedmont (Piemonte),2.6,1640 m,2240 m,2 km,5 km,1 km,3 ski lifts,"€ 26,-"
808, Javornik ,Slovenia,Goriška,2.6,800 m,1220 m,3 km,2.5 km,1.5 km,5 ski lifts,"€ 12,-"
809, Götschen – Bischofswiesen ,Germany,Bavaria (Bayern),2.6,880 m,1307 m,2.9 km,1.8 km,4 km,3 ski lifts,"€ 26,-"
810, Zum Zeri – Passo dei due Santi ,Italy,Tuscany (Toscana),2.6,1370 m,1588 m,1.5 km,5.3 km,1.2 km,2 ski lifts,"€ 25,-"
811, Jochgrimm (Passo Oclini) ,Italy,Trentino-Alto Adige (Trentino-Südtirol),2.6,1850 m,2250 m,4 km,2 km,1 km,4 ski lifts,"€ 19,-"
812, Bydalsfjällen – Bydalen ,Sweden,Northern Sweden (Norrland),2.6,590 m,1010 m,10 km,12 km,3 km,17 ski lifts,"Skr 385,- / approx. € 37,-"
