"","country","highest_point","blue_runs","red_runs","black_runs","ski_lifts","price","elevation_length"
"189","Germany",1665,8,7,2,5,43,771
"190","Italy",2625,63,117,25,6,43.5,1120
"191","France",2603,75,35,10,20,35,803
"192","Italy",3000,5,128,22,7,38,1600
"193","France",1900,25,25,5,15,45,900
"194","Austria",1911,13,29,3,15,48.5,911
"195","Italy",2350,12,25,3,7,45,741
"196","Austria",2690,10,25,5,6,44,1510
"197","France",2525,11,25,20,17,55,1495
"198","Austria",1743,245,10,15,13,48.5,676
"199","France",2500,55,35,10,21,37.5,1000
"200","Norway",1123,8,11,2,9,36,349
"201","Austria",1338,9,10,1,6,42,472
"202","Austria",2989,20,34,1,12,47,1688
"203","Austria",2278,79,115,16,6,50,618
"204","Italy",2800,54,38,8,17,38,1488
"205","France",2250,45,35,10,15,36,850
"206","France",2725,55,38,7,28,37,875
"207","France",2720,30,60,10,17,38,1170
"208","Spain",2630,37,29,15,13,45.5,1125
"209","Germany",1559,6,24,2,5,42,429
"210","Switzerland",2713,32,38,3,12,57,1513
"211","France",2450,60,45,30,16,35,850
"212","Italy",2502,5,9,4,4,38,901
"213","Austria",2064,114,59,1,11,48,834
"214","Italy",2120,6,13,1,3,45,1172
"215","Sweden",946,5,8,5,10,46,354
"216","Germany",1712,8,22,4,15,41,1012
"217","Southern Russia",2320,62,24,16,26,42,1380
"218","Poland",1257,224,98,44,9,22,733
"219","Switzerland",2961,0,14,17,4,49.6,1517
"220","Switzerland",3006,0,27,8,4,47.4,915
"221","Italy",2141,37,326,209,24,44,832
"222","Italy",2085,427,51,116,24,35,1278
"223","Austria",2212,6,15,1,7,40.5,1432
"224","Switzerland",2215,12,11,7,5,49,731
"225","Austria",2646,5,10,0,4,39,746
"226","Liechtenstein",2000,11,9,3,7,46,400
"227","Germany",2050,12,18,10,17,47.5,1310
"228","France",3275,6,9,14,8,55,2023
"229","Switzerland",2611,59,236,18,7,58,1469
"230","Andorra",2625,13,14,3,15,39.5,685
"231","Switzerland",2558,9,21,6,5,48,958
"232","Germany",1448,7,14,5,14,43,560
"233","Austria",2650,35,132,15,3,58.5,1065
"234","Norway",1250,22,8,4,12,44,700
"235","France",2515,60,30,10,26,45,918
"236","France",2346,40,25,15,19,38.5,966
"237","France",2100,49,29,8,24,39.3,1100
"238","France",2737,40,20,10,8,32,1187
"239","Switzerland",2120,43,38,3,25,61,896
"240","France",2677,28,34,13,12,35.5,1270
"241","Austria",2600,6,15,2,8,39,1118
"242","Slovakia",2190,54,52,12,8,49,1302
"243","Austria",1834,13,15,1,9,44,932
"244","Italy",3012,14,34,2,11,44,1787
"245","Austria",2800,4,10,5,6,40,1160
"246","Germany",1580,85,75,4,10,37,600
"247","Switzerland",2151,352,174,54,9,69,1159
"248","Switzerland",3118,20,20,20,11,54,1796
"249","France",1835,28,50,7,23,37.5,722
"250","Austria",1946,195,119,23,14,51,876
"251","Italy",1600,224,6,2,8,37,426
"252","Austria",1800,7,8,1,4,37,880
"253","Switzerland",2864,9,33,2,11,52,1245
"254","Austria",1870,10,10,2,7,44,1060
"255","France",2528,35,22,8,11,38.5,1120
"256","Southern Russia",2228,10,10,5,6,31,1693
"257","Switzerland",2420,12,37,9,10,54,920
"258","France",2020,45,35,10,23,33.2,608
"259","Italy",2270,283,14,77,11,42,1108
"260","Serbia",2017,30,19,6,23,33,960
"261","France",2750,17,43,5,12,32,1400
"262","Norway",531,5,26,2,9,40,381
"263","Austria",1900,5,9,2,5,38.5,1046
"264","Germany",1500,152,138,5,13,34,500
"265","Switzerland",2490,156,231,128,7,54,1036
"266","Slovakia",1361,5,59,1,16,32,447
"267","Germany",2224,28,51,4,6,51,1396
"268","Austria",2636,28,5,5,5,50,1370
"269","Austria",2115,111,58,71,5,45,618
"270","France",2400,30,26,4,16,41.5,800
"271","Ukraine",1372,29,28,11,16,44,513
"272","Italy",2740,83,355,65,12,46,1200
"273","France",2750,30,22,3,7,32,1250
"274","Switzerland",2550,5,15,5,9,46,1070
"275","Austria",1785,8,15,4,5,39,745
"276","Poland",910,144,39,0,19,24,230
"277","Germany",1463,6,2,0,8,34.5,563
"278","Norway",1148,13,5,1,7,36,348
"279","France",2500,25,30,5,7,35,820
"280","Italy",2060,7,28,17,14,35,1014
"281","France",2300,15,20,15,12,32,1220
"282","Italy",1976,15,25,10,13,38,1076
"283","France",2213,30,19,9,21,40.5,563
"284","Switzerland",2225,20,6,10,11,51,1145
"285","France",2620,10,27,6,4,32.7,1070
"286","Switzerland",2350,30,15,15,17,51,1250
"287","Switzerland",1831,15,30,5,12,51,791
"288","Switzerland",2465,9,3,3,5,36,745
"289","Germany",1139,25,19,6,6,29,298
"290","Austria",1456,8,102,29,9,40,601
"291","Germany",110,3,1,0,3,45,50
"292","Austria",1612,4,2,0,4,41,750
"293","Austria",1625,4,5,1,8,39.9,1182
"294","Germany",1450,72,62,0,5,41.5,630
"295","Austria",1500,7,3,0,7,33.5,442
"296","Austria",2142,8,85,85,5,43,1595
"297","Switzerland",2001,217,194,9,10,53,926
"298","Switzerland",3025,20,30,10,12,54,1370
"299","Italy",2755,16,215,4,17,50,1550
"300","France",2520,26,25,9,16,29.5,920
"301","France",2450,18,13,4,9,37.5,1100
"302","Montenegro",2035,20,20,5,8,20,615
"303","Switzerland",2262,8,40,2,12,58,1362
"304","Italy",2500,57,128,141,5,35,1080
"305","France",2500,25,20,5,14,29,1150
"306","Germany",1024,24,23,0,4,22,365
"307","Austria",2304,65,155,1,6,36.5,1354
"308","Austria",2256,5,13,4,5,38,1396
"309","Netherlands",210,7,5,3,4,46.5,60
"310","Southern Russia",2256,173,263,92,23,42,1307
"311","Czech Republic",900,109,21,5,4,29,190
"312","Austria",1500,47,0,0,8,48,300
"313","Italy",2948,15,19,3,12,43,1398
"314","France",2376,22,23,10,17,40.5,776
"315","Switzerland",2205,43,15,2,13,51,955
"316","France",1850,30,20,10,17,32.9,690
"317","France",2450,35,20,10,21,31,1050
"318","Norway",964,25,8,12,11,41,680
"319","Switzerland",1630,9,19,2,5,38,754
"320","Greece",2300,18,15,3,17,30,700
"321","North Caucasus",2504,164,43,38,5,25.2,854
"322","Southern Russia",2172,75,20,25,13,30,1212
"323","Czech Republic",1244,173,105,37,16,31,481
"324","Italy",2880,14,155,36,6,44,1158
"325","Germany",900,3,4,1,5,24.9,424
"326","Austria",2000,7,4,2,5,33,1180
"327","Germany",820,14,12,15,21,37,190
"328","Austria",1350,65,65,1,2,36,365
"329","Germany",122,3,0,0,2,37,40
"330","Norway",1300,40,7,9,17,41,715
"331","Italy",1892,142,286,13,15,40,652
"332","Switzerland",1800,6,20,6,6,51,1200
"333","Switzerland",2220,14,6,5,4,41,1110
"334","Italy",2500,4,13,1,3,46,750
"335","Italy",1950,15,10,10,8,36,610
"336","France",2415,21,12,3,8,38.5,685
"337","Austria",1774,20,6,0,10,47.5,997
"338","Austria",1690,10,9,3,10,41,1071
"339","Switzerland",2610,35,269,168,12,51,1199
"340","Norway",1107,9,3,0,7,39,207
"341","Switzerland",2941,5,15,5,5,31,1655
"342","Italy",2460,3,17,2,4,38.5,890
"343","Switzerland",1935,12,238,10,8,47,635
"344","France",1966,29,20,6,21,30,726
"345","Slovenia",1327,235,13,5,22,33,1002
"346","Spain",2751,10,227,86,7,39,731
"347","France",2426,25,20,5,9,29,926
"348","Spain",2204,11,21,3,10,43.5,1058
"349","Spain",2291,13,8,4,3,34,781
"350","Switzerland",2123,10,15,5,5,33,1192
"351","France",1680,54,132,21,10,32,780
"352","Switzerland",2400,1,25,4,5,47,920
"353","Austria",1621,6,12,6,12,49,793
"354","Spain",2236,158,183,159,21,45,722
"355","France",2000,20,28,0,14,24.5,1000
"356","Italy",2353,104,81,48,8,43,826
"357","Austria",1965,5,10,4,5,40,956
"358","Switzerland",1593,18,31,1,15,44,523
"359","Slovakia",1840,27,56,0,7,49,464
"360","Germany",838,7,9,0,9,31,260
"361","Germany",1276,74,6,0,9,32,416
"362","France",1800,18,12,5,15,26,900
"363","Italy",1752,9,11,4,10,39.5,998
"364","Norway",1230,14,7,4,7,38,800
"365","Switzerland",2374,13,19,3,9,49,1033
"366","Switzerland",2272,8,8,4,3,40,622
"367","France",2471,21,20,9,9,33,871
"368","Spain",2272,168,188,43,12,43,617
"369","Switzerland",1900,35,36,22,1,69,625
"370","Slovenia",1971,7,15,8,11,35,521
"371","Switzerland",3016,145,55,10,10,61,1673
"372","Italy",1970,9,8,5,7,39.5,1070
"373","North Caucasus",3840,6,12,5,6,28.9,1490
"374","France",1850,30,9,4,19,33.5,550
"375","Italy",1916,87,137,85,12,35,505
"376","France",2125,16,10,6,15,35.5,660
"377","Switzerland",1636,5,20,0,5,37,596
"378","Switzerland",2427,5,20,5,7,50,1027
"379","Bosnia and Herzegovina",1916,3,19,3,8,28,616
"380","Italy",2000,37,21,53,11,35,800
"381","Spain",2135,10,10,2,9,29,587
"382","Austria",1820,25,5,1,5,41,710
"383","Iceland",700,10,5,0,15,24,240
